CandidateID,Designation,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience [before joining Piramal],Previous Industry worked with [before joining Piramal],Name of your Previous Organization / Company,How many Organization that you have worked before joining Piramal Finance ?,Average Incentive [per month] earned in your pervious company ?,How did you come to know about the role at Piramal Finance ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,How many members are there in your family ?,How many are earning family members ? [Other then yourself]2,How many members are dependent on you ?,Department,DOJ,Location Code,Residential Pincode,Branch Pincode,Performance
EMP0487,DST,Full Time,Post Graduate,1,NBFC,tata capital housing finance limited,01-Feb,Above 10K,Direct Application,Housing Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,1,3,Mass Affluent Housing,29-08-22,6229,474010,474011,1
EMP0615,DST,Full Time,Post Graduate,3,Others,Gajam India Private Limited,01-Feb,3K-7K,Consultant / Partners,FMCG;Others;, INR 2L - INR 5L,3 - 4 members,4,0,Affordable Housing,06-10-22,6356,786001,786001,0
EMP0608,DST,Full Time,Graduate,5,NBFC,Mahindra finance,03-May,3K-7K,Advertisement / Job Portal,FMCG;Current / Saving account [CASA];,INR 50K - INR 2L,3 - 4 members,2,3,Mass Affluent Housing,03-11-22,6147,400043,,0
EMP0924,DST,,,0,NBFC,,0 / Fresher,Above 10K,External consultant,Unsecure Business Loan,INR 10L and above,5 & Above members,,3,Business Loans,15-05-23,2050,609118,600017,1
EMP0877,DST,,,,NBFC,,,3K-7K,Referral,Used Car Loan,INR 50K and below,5 & Above members,,4,Sales,01-11-21,6115,380001,380009,0
EMP0750,DST,,,,NBFC,,,Above 10K,Referral,Housing Loan,INR 10L and above,5 & Above members,,2,Affordable Housing,21-11-22,6173,400066,400068,0
EMP0725,DST,Full Time,Graduate,5.916666667,NBFC,,03-May,Less than 3K,External consultant,Housing Loan,INR 10L and above,3 - 4 members,,2,Mass Affluent Housing,07-12-20,2088,401107,400063,0
EMP0181,DST,Full Time,Graduate,16,Banking,Poonawalla Fincorp limited ,01-Feb,7K-10K,Referral,Car Loans / Used Car Loans;, INR 2L - INR 5L,1 - 2 members,0,2,Sales,05-09-22,6035,600099,600010,1
EMP0334,DST,Full Time,Graduate,8,NBFC,Axis bank,0 / Fresher,Less than 3K,Referral,Housing Loans;,INR 50K - INR 2L,3 - 4 members,2,2,Affordable Housing,28-02-22,6063,676319,673001,1
EMP0779,DST,,,,Others,,,Less than 3K,External consultant,Housing Loan,INR 10L and above,5 & Above members,,0,Affordable Housing,15-06-23,6266,140301,160022,0
EMP0296,DST,Full Time,Graduate,6,Banking,HDFCBANKSALES PVT LTD,03-May,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 50K - INR 2L,1 - 2 members,1,2,Mass Affluent Housing,14-09-23,6410,600082,600054,0
EMP0511,DST,Full Time,Graduate,10,Banking,HDFC Bank ,01-Feb,Above 10K,Referral,Housing Loans;Others;,INR 5L - INR 15L,5 & above members,1,5,Affordable Housing,13-03-23,6149,421301,421501,0
EMP0535,DST,Part Time,Graduate,2,Others,Reliance smsl Ltd ,01-Feb,Less than 3K,Consultant / Partners,Others;FMCG;,INR 50K and below,5 & Above members,3,3,Budget Housing,18-08-22,6266,160014,160022,0
EMP0485,DST,Full Time,Post Graduate,5,Banking,Jana small finance bank ,03-May,3K-7K,Referral,Personal Loans;Current / Saving account [CASA];, INR 2L - INR 5L,5 & above members,3,2,Affordable Housing,12-07-22,6238,452009,452010,0
EMP0011,DST,Full Time,Graduate,2,NBFC,Paisabazaar sales and marketing pvt ltd,01-Feb,Above 10K,Consultant / Partners,MSME / SME Loans;Others;,INR 15L and above,5 & Above members,0,5,Affordable Housing,20-02-23,6365,221309,122001,0
EMP0809,DST,Full Time,Graduate,7.4725,Others,,01-Feb,Less than 3K,External consultant,Housing Loan, INR 2L - INR 5L,5 & Above members,,4,Affordable Housing,25-07-22,6306,201009,201002,0
EMP0912,DST,,,,NBFC,,,Above 10K,Referral,Housing Loan,INR 10L and above,3 - 4 members,,2,Affordable Housing,03-10-22,6083,581348,560069,0
EMP0061,DST,Full Time,Graduate,7,NBFC,Tata capital financial services ltd,03-May,3K-7K,Direct Application,Car Loans / Used Car Loans;,INR 5L - INR 15L,5 & Above members,0,6,Sales,24-11-23,6307,123401,123401,1
EMP0410,DST,Full Time,Post Graduate,7,Banking,ICICI Bank ltd,03-May,Above 10K,Referral,Housing Loans;,INR 15L and above,3 - 4 members,1,2,Mass Affluent Housing,19-12-22,6219,700036,700029,0
EMP0499,DST,Full Time,Graduate,5,Banking,Pramerica life insurance,03-May,7K-10K,Referral,Personal Loans;Others;, INR 2L - INR 5L,5 & above members,1,1,Sales,13-04-23,6214,834010,834001,1
EMP0292,DST,Full Time,Graduate,4,NBFC,Poonawalla Fincorp ,01-Feb,Above 10K,Referral,Personal Loans;, INR 2L - INR 5L,3 - 4 members,2,0,Sales,12-09-22,6043,641104,641012,0
EMP0858,DST,Full Time,Post Graduate,13.08333333,Others,,03-May,Nil,Referral,Loan Against Property/ Secured Business Loan,Fresher,3 - 4 members,,2,Secured Business Loan,05-12-23,6043,641026,641012,0
EMP0522,DST,Full Time,Post Graduate,3.8,Others,Reliance jio,01-Feb,3K-7K,Advertisement / Job Portal,Others;Housing Loans;, INR 2L - INR 5L,1 - 2 members,0,2,Sales,22-08-22,6325,534239,534201,1
EMP0602,DST,Full Time,Graduate,3.5,Others,Quess crop ltd,03-May,3K-7K,Referral,Others;Current / Saving account [CASA];,Fresher,3 - 4 members,2,3,Sales,11-05-23,6118,388560,388001,0
EMP0575,DST,Full Time,Graduate,5,NBFC,Bharat Financial inclusion limited,01-Feb,7K-10K,Referral,Others;FMCG;,INR 50K - INR 2L,3 - 4 members,1,2,Affordable Housing,06-03-23,6215,781025,781007,0
EMP0170,DST,Full Time,Graduate,5,Non NBFC,Ru loans,01-Feb,Above 10K,Referral,Housing Loans;,INR 15L and above,1 - 2 members,1,2,Budget Housing,24-11-23,6039,600048,600045,1
EMP0667,DST,Full Time,Others,3,Banking,Icici bank ltd,01-Feb,Nil,Referral,Housing Loans;Current / Saving account [CASA];,INR 5L - INR 15L,5 & Above members,3,2,Affordable Housing,27-10-22,6230,473660,473781,0
EMP0583,DST,Full Time,Graduate,0,Others,,0 / Fresher,Nil,Advertisement / Job Portal,Others;Housing Loans;,Fresher,5 & Above members,0,4,Affordable Housing,14-03-22,6006,535003,535003,1
EMP0333,DST,Full Time,Graduate,2.3,NBFC,Maben Nidhi Limited ,01-Feb,3K-7K,Referral,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,1 - 2 members,1,1,Affordable Housing,15-06-23,6065,671321,671121,0
EMP0341,DST,Full Time,Graduate,4,Insurance,Hdfc sales pvt ltd,01-Feb,Above 10K,Direct Application,Others;,INR 15L and above,5 & Above members,0,4,Affordable Housing,11-11-20,2092,122001,122016,0
EMP0342,DST,Full Time,Under Graduate,3,Banking,ICICI BANK,01-Feb,Above 10K,Referral,Current / Savings account [CASA];,INR 50K - INR 2L,3 - 4 members,2,2,Affordable Housing,18-08-22,6046,625001,625002,0
EMP0536,DST,Full Time,Others,1,NBFC,Veritas finance PVT ,01-Feb,Above 10K,Campus,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,2,2,Mass Affluent Housing,17-01-22,6008,533006,533003,1
EMP0176,DST,Full Time,Graduate,2,Banking,Indusind ,01-Feb,Above 10K,Referral,MSME / SME Loans;,INR 5L - INR 15L,5 & Above members,5,5,Secured Business Loan,14-03-22,6085,572102,572102,1
EMP0008,DST,Full Time,Post Graduate,4,NBFC,DHFL,01-Feb,7K-10K,Consultant / Partners,Housing Loans;,INR 15L and above,5 & Above members,3,4,Affordable Housing,03-03-22,6155,400043,400703,0
EMP0762,DST,,,3.5,NBFC,,01-Feb,Above 10K,Referral,Loan Against Property/ Secured Business Loan, INR 2L - INR 5L,3 - 4 members,,2,Secured Business Loan,02-01-23,6291,121003,121002,0
EMP0323,DST,Full Time,Post Graduate,1.5,NBFC,HDB financial service limited,5+,Above 10K,Referral,Housing Loans;,INR 50K - INR 2L,5 & Above members,2,4,Mass Affluent Housing,18-04-22,6039,600088,600045,1
EMP0242,DST,Full Time,Post Graduate,6,NBFC,Edelweiss Housing Finance Ltd,01-Feb,7K-10K,Direct Application,Housing Loans;,INR 5L - INR 15L,3 - 4 members,3,2,Affordable Housing,09-02-23,6051,639004,639001,0
EMP0361,DST,Full Time,Graduate,5,Banking,Iproces solution Pvt Ltd ,01-Feb,7K-10K,Referral,Housing Loans;,INR 15L and above,3 - 4 members,0,3,Affordable Housing,17-04-23,6384,700126,700124,0
EMP0537,DST,Full Time,Post Graduate,2.8,Banking,Bandhan Bank ,01-Feb,Nil,Consultant / Partners,Others;MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,1,2,Sales,21-11-22,6221,713404,713101,0
EMP0751,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,7K-10K,Referral,,INR 10L and above,5 & Above members,,2,Mass Affluent Housing,02-02-23,6158,400612,410206,0
EMP0654,DST,Full Time,Graduate,4,Non NBFC,swbs india pvt ltd,01-Feb,7K-10K,Consultant / Partners,Housing Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,0,4,Mass Affluent Housing,11-08-22,6022,500088,500035,1
EMP0504,DST,Full Time,Graduate,3,NBFC,Quess Corp ltd (SBI Capital ),03-May,3K-7K,Others,Housing Loans;Others;,INR 15L and above,5 & above members,3,2,Mass Affluent Housing,26-07-21,2165,201102,201301,0
EMP0006,DST,Full Time,Post Graduate,1,others,Soni finance,0 / Fresher,Nil,Referral,Housing Loans;,INR 50K - INR 2L,3 - 4 members,1,1,Affordable Housing,12-12-22,6374,323001,323001,0
EMP0607,DST,Full Time,Graduate,2,Others,LOTUS HOME LOAN AGENCY ,01-Feb,3K-7K,Advertisement / Job Portal,Housing Loans;MSME / SME Loans;,INR 50K and below,5 & Above members,0,4,Affordable Housing,16-05-22,6088,635206,635001,0
EMP0925,DST,Full Time,Graduate,4.833333333,NBFC,,0 / Fresher,Above 10K,Referral,Personal Loan,INR 10L and above,3 - 4 members,,3,Sales,19-12-22,6081,560017,560092,0
EMP0749,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,Less than 3K,Referral,Housing Loan,Fresher,3 - 4 members,,4,Affordable Housing,12-10-23,6424,110084,110084,0
EMP0685,DST,Full Time,Graduate,5,Others,Reliance retail limited,03-May,3K-7K,Consultant / Partners,Others;FMCG;,INR 50K and below,5 & Above members,0,5,Affordable Housing,03-11-22,6294,201016,201010,0
EMP0882,DST,,,,NBFC,,,3K-7K,Referral,Loan Against Property/ Secured Business Loan,INR 10L and above,3 - 4 members,,1,Secured Business Loan,20-03-23,6225,462001,462011,0
EMP0348,DST,Full Time,Graduate,1,Banking,Axis Bank LTD,01-Feb,3K-7K,Referral,Housing Loans;,INR 50K - INR 2L,3 - 4 members,1,2,Affordable Housing,06-02-23,6332,743357,712202,0
EMP0473,DST,Part Time,Graduate,1.5,NBFC,Cholamandalam investment and finance com ltd,01-Feb,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 50K and below,1 - 2 members,1,1,Affordable Housing,23-02-23,6106,570003,570009,0
EMP0498,DST,Full Time,Graduate,0,Others,fresher,0 / Fresher,Nil,Referral,Others;Housing Loans;,Fresher,3 - 4 members,4,3,Affordable Housing,29-06-23,6130,302017,302001,0
EMP0728,DST,,,,NBFC,,,7K-10K,Referral,Housing Loan,INR 50K and below,5 & Above members,,2,Affordable Housing,19-12-23,6354,226012,226014,1
EMP0656,DST,Full Time,Graduate,6,NBFC,Aavas financiars Ltd ,03-May,Above 10K,Others,Housing Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,0,2,Affordable Housing,06-03-23,6370,421503,421302,0
EMP0545,DST,Full Time,Graduate,8,Others,Borah Brothers Pvt Ltd ,5+,7K-10K,Referral,Car Loans / Used Car Loans;Others;,INR 5L - INR 15L,3 - 4 members,3,2,Affordable Housing,06-04-23,6356,786612,786001,0
EMP0143,DST,Full Time,Graduate,5,NBFC,Axis Bank,01-Feb,3K-7K,others,Housing Loans;,INR 15L and above,5 & Above members,2,0,Mass Affluent Housing,15-05-23,6172,400101,400066,1
EMP0297,DST,Full Time,Post Graduate,1.5,others,TELE PERFORMANCE,01-Feb,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,1 - 2 members,1,1,Affordable Housing,12-07-22,6040,632059,623006,1
EMP0164,DST,Part time,Under Graduate,10,NBFC,Opendoor Fintech Pvt Ltd ,03-May,Nil,others,Housing Loans;MSME / SME Loans;Personal Loans;,INR 15L and above,5 & Above members,1,5,Affordable Housing,02-01-23,6219,712105,700029,0
EMP0062,DST,Full Time,Post Graduate,0,others,fresher,0 / Fresher,Nil,Referral,Others;,Fresher,3 - 4 members,1,2,Affordable Housing,12-10-23,6068,691001,691001,0
EMP0265,DST,Full Time,Graduate,6,Non NBFC,Shriram city union finance,01-Feb,3K-7K,Consultant / Partners,Others;, INR 2L - INR 5L,3 - 4 members,1,3,Affordable Housing,18-08-22,6330,622303,622001,0
EMP0592,DST,Full Time,Others,20,Others,"S.M.HOLDINGS LTD, DAR ES SALAAM, TANZANIA",03-May,Above 10K,Consultant / Partners,Others;FMCG;,INR 15L and above,3 - 4 members,0,3,Affordable Housing,06-02-23,6385,711201,711101,0
EMP0864,DST,,,,NBFC,,,Above 10K,Referral,Housing Loan,INR 10L and above,5 & Above members,,5,Affordable Housing,02-06-22,6229,477001,474011,1
EMP0846,DST,,,,NBFC,,,Above 10K,Referral,Unsecure Business Loan,INR 5L - INR 10L,1 - 2 members,,2,Business Loans,12-12-22,6296,110042,110034,1
EMP0416,DST,Full Time,Graduate,6,NBFC,Hdb finance ,01-Feb,3K-7K,others,MSME / SME Loans;Housing Loans;,INR 5L - INR 15L,5 & Above members,3,2,Mass Affluent Housing,08-12-22,6372,305901,305901,0
EMP0642,DST,Full Time,Graduate,5,Banking,Bandhan bank,03-May,7K-10K,Others,MSME / SME Loans;Personal Loans;,INR 5L - INR 15L,5 & Above members,3,2,Budget Housing,06-04-23,6143,324002,324007,1
EMP0377,DST,Full Time,Diploma Holders,2,others,3,01-Feb,Above 10K,Direct Application,Others;,INR 50K and below,3 - 4 members,1,3,Affordable Housing,05-06-23,6448,303303,303303,0
EMP0099,DST,Full Time,Post Graduate,5,NBFC,FED BANK ,03-May,3K-7K,Referral,Others;, INR 2L - INR 5L,5 & Above members,2,4,Affordable Housing,29-12-22,6001,518502,518001,1
EMP0213,DST,Full Time,Graduate,3,others,Infoziant it solution ,03-May,Nil,Advertisement / Job Portal,Others;,INR 50K and below,1 - 2 members,1,2,Affordable Housing,03-04-23,6038,627855,600061,0
EMP0102,DST,Full Time,Graduate,7,Banking,IDFC FIRST BANK JODHPUR ,01-Feb,Above 10K,Referral,MSME / SME Loans;,INR 5L - INR 15L,5 & Above members,3,2,Business Loans,19-12-22,6139,342001,342001,1
EMP0114,DST,Full Time,Post Graduate,1,NBFC,L&T Finance Limited ,01-Feb,3K-7K,Referral,Housing Loans;, INR 2L - INR 5L,3 - 4 members,2,3,Affordable Housing,15-05-23,6425,600013,600058,0
EMP0649,DST,Full Time,Post Graduate,4,NBFC,Chola mandalam,03-May,Above 10K,Referral,MSME / SME Loans;Housing Loans;,INR 15L and above,3 - 4 members,3,1,Affordable Housing,09-03-23,6274,131001,133001,1
EMP0732,DST,,,,NBFC,,,3K-7K,Referral,Loan Against Property/ Secured Business Loan,INR 10L and above,5 & Above members,,5,Secured Business Loan,31-01-22,2108,303701,302015,0
EMP0698,DST,Full Time,Graduate,4,Banking,Sib ,01-Feb,3K-7K,Others,Housing Loans;MSME / SME Loans;,INR 50K - INR 2L,5 & Above members,3,3,Affordable Housing,07-07-22,6174,400024,401107,0
EMP0814,DST,Full Time,Graduate,1.25,Others,,03-May,3K-7K,Referral,Housing Loan,INR 10L and above,5 & Above members,,2,Mass Affluent Housing,06-04-23,6306,201009,201002,0
EMP0636,DST,Full Time,Under Graduate,1,Banking,Fincare small finance bank ,01-Feb,3K-7K,Consultant / Partners,Others;MSME / SME Loans;,INR 50K and below,3 - 4 members,30000,2,Affordable Housing,29-05-23,6001,518003,518001,0
EMP0727,DST,Full Time,Graduate,3.3725,NBFC,,03-May,Nil,Referral,Used Car Loan,INR 50K and below,5 & Above members,,1,Sales,05-12-23,2241,110042,110055,0
EMP0475,DST,Full Time,Graduate,0,Others,,0 / Fresher,3K-7K,Referral,Housing Loans;MSME / SME Loans;,Fresher,3 - 4 members,1,3,Personal Loans,29-08-22,6248,245101,250001,0
EMP0447,DST,Full Time,Graduate,2,NBFC,MUTHOOT FINANCE,01-Feb,3K-7K,Advertisement / Job Portal,Others;MSME / SME Loans;,INR 5L - INR 15L,1 - 2 members,1,2,Mass Affluent Housing,17-03-22,6109,573202,573201,1
EMP0467,DST,Full Time,Post Graduate,4,Banking,Kotak ,01-Feb,Above 10K,Consultant / Partners,MSME / SME Loans;Housing Loans;, INR 2L - INR 5L,5 & above members,2,6,Affordable Housing,01-09-22,2088,400072,400063,0
EMP0697,DST,Full Time,Graduate,9,Banking,Hdfc Bank Ltd ( HDB Finance),03-May,Above 10K,Consultant / Partners,Personal Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,0,2,Secured Business Loan,23-02-22,6291,121005,121002,1
EMP0516,DST,Full Time,Graduate,7,NBFC,Hero housing finance ltd ,03-May,7K-10K,Referral,Housing Loans;Personal Loans;,INR 15L and above,3 - 4 members,1,3,Mass Affluent Housing,08-12-22,6165,221304,401208,0
EMP0409,DST,Part time,Graduate,1.7,Banking,Axis Bank ,0 / Fresher,Above 10K,others,Housing Loans;,INR 15L and above,3 - 4 members,0,3,Affordable Housing,06-04-23,6190,412105,411044,1
EMP0092,DST,Full Time,Post Graduate,10,NBFC,DHFL,03-May,7K-10K,Direct Application,Housing Loans;,INR 50K and below,5 & Above members,1,4,Mass Affluent Housing,15-12-21,6281,148001,148001,1
EMP0380,DST,Full Time,Graduate,7,Banking,indusind bank LTD,01-Feb,Above 10K,others,Car Loans / Used Car Loans;, INR 2L - INR 5L,5 & Above members,2,1,Sales,13-04-23,6139,342001,342001,1
EMP0058,DST,Full Time,Graduate,10,NBFC,SALES EXECUTIVE ,0 / Fresher,Above 10K,Referral,Personal Loans;,INR 5L - INR 15L,5 & Above members,1,4,Affordable Housing,12-12-23,6056,627358,627002,1
EMP0021,DST,Full Time,Post Graduate,6,Insurance,Malabar gold and diamonds and sriram life insurance,01-Feb,Above 10K,Referral,Others;,INR 50K - INR 2L,5 & Above members,3,3,Affordable Housing,21-02-22,6104,581115,581110,0
EMP0479,DST,Full Time,Graduate,3,Others,DESI TREDE LINK,01-Feb,7K-10K,Advertisement / Job Portal,Current / Saving account [CASA];Others;,INR 50K and below,3 - 4 members,2,1,Mass Affluent Housing,25-04-22,6338,382449,382330,1
EMP0386,DST,Full Time,Graduate,12,Insurance,Care health insurance ,03-May,Above 10K,Referral,Others;,INR 50K and below,3 - 4 members,1,0,Mass Affluent Housing,20-04-23,6158,410206,410206,0
EMP0053,DST,Full Time,Graduate,1,Banking,Kotak mahindra bank for off Role,01-Feb,3K-7K,Referral,Personal Loans;,Fresher,5 & Above members,8,3,Affordable Housing,17-10-22,6169,400051,401205,0
EMP0267,DST,Full Time,Post Graduate,4,NBFC,HDB ,03-May,Above 10K,Advertisement / Job Portal,MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,7000,3,Business Loans,19-01-22,6059,636012,636004,1
EMP0646,DST,Full Time,Graduate,2,NBFC,HDFC SALES,01-Feb,Above 10K,Consultant / Partners,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,5 & Above members,2,3,Budget Housing,05-01-23,6010,520013,520010,0
EMP0663,DST,Full Time,Graduate,1,Banking,IDFC Frist bank ,01-Feb,Less than 3K,Referral,Others;Housing Loans;, INR 2L - INR 5L,3 - 4 members,1,1,Mass Affluent Housing,02-01-23,6019,505102,506001,0
EMP0684,DST,Full Time,Graduate,3,NBFC,HDFC Sales Private Limited ,01-Feb,Above 10K,Referral,Housing Loans;Others;,INR 15L and above,3 - 4 members,50000,2,Affordable Housing,12-12-22,6037,600033,600116,1
EMP0229,DST,Full Time,Under Graduate,10,Banking,DBS BANK INDIA LID ,5+,Above 10K,Referral,Housing Loans;,INR 15L and above,3 - 4 members,0,2,Affordable Housing,20-03-23,6046,625107,625002,0
EMP0807,DST,,,,NBFC,,,3K-7K,External consultant,Used Car Loan,INR 5L - INR 10L,5 & Above members,,5,Sales,14-11-22,6115,382424,380009,1
EMP0338,DST,Full Time,Graduate,5,Non NBFC,Pratik agro urban coperative society,03-May,3K-7K,Direct Application,Others;,INR 50K and below,5 & Above members,5,2,Mass Affluent Housing,23-01-23,6066,676519,676121,0
EMP0261,DST,Full Time,Post Graduate,4,NBFC,Equitas Small Finance Bank,01-Feb,Above 10K,Advertisement / Job Portal,Others;,INR 50K - INR 2L,3 - 4 members,1,2,Affordable Housing,03-07-23,6463,610104,610002,0
EMP0827,DST,,,0,NBFC,,0 / Fresher,Above 10K,Referral,Housing Loan,Fresher,5 & Above members,,5,Mass Affluent Housing,01-06-23,6367,572227,562123,1
EMP0395,DST,Full Time,Post Graduate,7,others,Vinod Infrastructure ,03-May,3K-7K,Referral,Others;,INR 5L - INR 15L,3 - 4 members,2,2,Budget Housing,09-10-23,6204,444602,444605,0
EMP0840,DST,,,,NBFC,,,Above 10K,Referral,Used Car Loan, INR 2L - INR 5L,3 - 4 members,,1,Sales,09-08-22,6081,560097,560092,1
EMP0871,DST,,,0,Others,,0 / Fresher,Above 10K,External consultant,Personal Loan,INR 10L and above,5 & Above members,,4,Sales,07-07-22,6225,462022,462011,0
EMP0637,DST,Full Time,Graduate,2.6,Banking,Indusind bank ,01-Feb,Above 10K,Referral,Personal Loans;Others;,INR 50K and below,5 & Above members,2,4,Mass Affluent Housing,22-05-23,6326,501401,500014,1
EMP0818,DST,,,,NBFC,,,3K-7K,Referral,Housing Loan, INR 2L - INR 5L,3 - 4 members,,2,Mass Affluent Housing,01-06-23,6306,201009,201002,0
EMP0339,DST,Full Time,Graduate,7,others,KVR AUTO CARDS PVT LTD,03-May,3K-7K,Referral,Others;,INR 50K - INR 2L,3 - 4 members,1,1,Affordable Housing,27-02-23,6066,676123,676121,0
EMP0393,DST,Part time,Under Graduate,3,NBFC,DHFL,03-May,Above 10K,Direct Application,Housing Loans;,INR 15L and above,3 - 4 members,1,3,Affordable Housing,08-12-21,6070,682028,682025,1
EMP0503,DST,Part Time,Post Graduate,6.5,NBFC,BAJAJ FINSERV PRIVATE LIMITED ,01-Feb,Above 10K,Referral,Others;Housing Loans;,INR 50K and below,3 - 4 members,2,1,Affordable Housing,16-03-23,6338,380026,382330,0
EMP0402,DST,Full Time,Graduate,1.5,NBFC,Capital truth ,01-Feb,7K-10K,Referral,Housing Loans;MSME / SME Loans;,INR 5L - INR 15L,3 - 4 members,600000,2,Affordable Housing,05-05-22,6255,247665,249401,1
EMP0336,DST,Part time,Graduate,4,NBFC,Bajaj Finserv ,01-Feb,Above 10K,Referral,Others;,INR 50K and below,5 & Above members,2,1,Sales,03-08-23,6063,679329,673001,0
EMP0782,DST,Full Time,Graduate,3.5,Banking,,03-May,7K-10K,External consultant,Used Car Loan, INR 2L - INR 5L,3 - 4 members,,2,Sales,21-07-22,2241,110092,110055,1
EMP0510,DST,Full Time,Graduate,5,NBFC,Hero Fincorp,03-May,3K-7K,Referral,Personal Loans;Others;, INR 2L - INR 5L,3 - 4 members,3,1,Affordable Housing,13-10-22,6217,713217,713216,0
EMP0185,DST,Full Time,Post Graduate,9,Banking,Kotak Mahindra prime ,03-May,Above 10K,Referral,Car Loans / Used Car Loans;,INR 5L - INR 15L,3 - 4 members,2,3,Sales,15-12-22,6126,362001,362001,1
EMP0093,DST,Full Time,Graduate,1,Banking,1.5,01-Feb,3K-7K,Consultant / Partners,Housing Loans;,INR 50K - INR 2L,3 - 4 members,2,3,Mass Affluent Housing,19-01-22,6298,110047,110076,0
EMP0766,DST,,,,NBFC,,,Above 10K,Referral,Housing Loan,INR 10L and above,5 & Above members,,3,Affordable Housing,07-07-22,6370,421302,421302,1
EMP0565,DST,Full Time,Graduate,6,Banking,Quess corp ltd ,03-May,Above 10K,Consultant / Partners,Others;Current / Saving account [CASA];, INR 2L - INR 5L,5 & Above members,1,5,Mass Affluent Housing,28-03-22,6019,506151,506001,1
EMP0028,DST,Full Time,Graduate,2,Banking,Axis bank ,01-Feb,7K-10K,Referral,Housing Loans;MSME / SME Loans;,INR 50K - INR 2L,3 - 4 members,5,4,Budget Housing,27-04-23,6264,273007,273001,1
EMP0798,DST,,,,Others,,,3K-7K,Referral,Housing Loan,INR 10L and above,5 & Above members,,5,Mass Affluent Housing,22-12-22,6020,500053,500029,0
EMP0269,DST,Full Time,Under Graduate,0,others,Nil,0 / Fresher,Nil,Referral,Others;,Fresher,3 - 4 members,0,4,Affordable Housing,07-11-22,6037,600097,600116,0
EMP0817,DST,,,0,NBFC,,0 / Fresher,7K-10K,Referral,Housing Loan,INR 5L - INR 10L,3 - 4 members,,3,Mass Affluent Housing,17-04-23,6071,682504,683101,0
EMP0295,DST,Full Time,Post Graduate,5,others,HDB Financial services,01-Feb,3K-7K,Referral,Personal Loans;,INR 15L and above,3 - 4 members,2,3,Affordable Housing,12-10-23,6048,621313,620001,0
EMP0225,DST,Full Time,Under Graduate,4,Banking,Esaf small finance bank,03-May,3K-7K,Referral,Car Loans / Used Car Loans;,INR 5L - INR 15L,3 - 4 members,0,2,Sales,17-10-22,6043,641029,641012,1
EMP0027,DST,Full Time,Graduate,4,Banking,Fino Payments Bank,01-Feb,3K-7K,Referral,Current / Savings account [CASA];Others;, INR 2L - INR 5L,3 - 4 members,6,3,Budget Housing,27-04-23,6264,274509,273001,1
EMP0178,DST,Full Time,Under Graduate,6,NBFC,ICICI home finance ,03-May,Above 10K,Referral,Housing Loans;MSME / SME Loans;,INR 15L and above,3 - 4 members,1,3,Affordable Housing,10-07-23,6425,600122,600058,1
EMP0303,DST,Full Time,Post Graduate,5,NBFC,Tata capital ,01-Feb,7K-10K,Advertisement / Job Portal,Housing Loans;,INR 5L - INR 15L,1 - 2 members,0,2,Affordable Housing,29-12-22,6409,642001,642001,0
EMP0553,DST,Full Time,Graduate,5,Banking,Hdfc Bank,03-May,7K-10K,Referral,Others;Current / Saving account [CASA];,Fresher,1 - 2 members,0,1,Affordable Housing,27-10-22,6216,734006,734001,0
EMP0891,DST,,,0,Banking,,01-Feb,Above 10K,Referral,Unsecure Business Loan,INR 5L - INR 10L,3 - 4 members,,3,Business Loans,29-05-23,6296,110046,110034,1
EMP0215,DST,Full Time,Under Graduate,0,others,NIL,0 / Fresher,Nil,Direct Application,Others;,Fresher,3 - 4 members,1,2,Affordable Housing,31-01-22,6029,602002,602001,1
EMP0886,DST,Full Time,Graduate,0,NBFC,,0 / Fresher,3K-7K,External consultant,Personal Loan, INR 2L - INR 5L,3 - 4 members,,3,Sales,30-01-23,6022,508250,500035,0
EMP0911,DST,Full Time,Graduate,3,NBFC,,03-May,Above 10K,External consultant,Housing Loan,INR 10L and above,3 - 4 members,,3,Affordable Housing,25-08-22,6083,560037,560069,0
EMP0209,DST,Full Time,Under Graduate,1.5,NBFC,BAJAJ FINANCE LIMITED ,01-Feb,7K-10K,Referral,Car Loans / Used Car Loans;,INR 5L - INR 15L,3 - 4 members,30000,3,Sales,05-10-23,6043,560095,641012,0
EMP0791,DST,Full Time,Graduate,3.916666667,NBFC,,5+,Above 10K,Referral,Housing Loan,INR 10L and above,5 & Above members,,3,Mass Affluent Housing,18-08-22,6229,474004,474011,1
